Regression,Ologit Group,Variable (concept),Raw survey variable,Reference question (latest available wording),2013 column,2013 answers,2014 column,2014 answers,2015 column,2015 answers,2016 column,2016 answers,2017 column,2017 answers
Events (separate regression),housing issue,indoor_noise,K_GURULTU,"H12.4 Yaşadığınız konutta, komşulardan gelen gürültü problemi var mı?",h12_4,1 Evet; 2 Hayır,h12_4,1 Evet; 2 Hayır,K_GURULTU,1 Evet; 2 Hayır,K_GURULTU,1 Evet; 2 Hayır,K_GURULTU,1 Evet; 2 Hayır
Events (separate regression),housing issue,outdoor_noise,S_GURULTU,"H12.5 Yaşadığınız konutta, sokaktan gelen gürültü problemi var mı?",h12_5,1 Evet; 2 Hayır,h12_5,1 Evet; 2 Hayır,S_GURULTU,1 Evet; 2 Hayır,S_GURULTU,1 Evet; 2 Hayır,S_GURULTU,1 Evet; 2 Hayır
Events (separate regression),housing issue,power_outages,ELEK_KESINTI,"H12.6 Yaşadığınız konutta, elektrik kesintisi problemi var mı?",h12_6,1 Evet; 2 Hayır,h12_6,1 Evet; 2 Hayır,ELEK_KESINTI,1 Evet; 2 Hayır,ELEK_KESINTI,1 Evet; 2 Hayır,ELEK_KESINTI,1 Evet; 2 Hayır
Events (separate regression),housing issue,water_supply_outages,SEBEKE_SUYU_KESINTI,"H12.7 Yaşadığınız konutta, şebeke suyu kesintisi problemi var mı?",h12_7,1 Evet; 2 Hayır,h12_7,1 Evet; 2 Hayır,SEBEKE_SUYU_KESINTI,1 Evet; 2 Hayır,SEBEKE_SUYU_KESINTI,1 Evet; 2 Hayır,SEBEKE_SUYU_KESINTI,1 Evet; 2 Hayır
Events (separate regression),housing issue,heating_problem,ISINMA_PROBLEM,"H12.8 Yaşadığınız konutta, ısınma problemi var mı?",h12_8,1 Evet; 2 Hayır,h12_8,1 Evet; 2 Hayır,ISINMA_PROBLEM,1 Evet; 2 Hayır,ISINMA_PROBLEM,1 Evet; 2 Hayır,ISINMA_PROBLEM,1 Evet; 2 Hayır
Events (separate regression),comparison concern (others' own X),concern_clothing,KIYAFET_ONEM,"B51.1 Çevrenizdeki diğer kişilerin, kılık kıyafetleri sizin için ne kadar önemlidir?",b51_1,1 Önemli; 2 Orta; 3 Önemli değil,b51_1,1 Önemli; 2 Orta; 3 Önemli değil,KIYAFET_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,KIYAFET_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,KIYAFET_ONEM,1 Önemli; 2 Orta; 3 Önemli değil
Events (separate regression),comparison concern (others' own X),concern_family_lifestyle,AILE_YASAM_ONEM,"B51.2 Çevrenizdeki diğer kişilerin, aile yaşam biçimleri sizin için ne kadar önemlidir?",b51_2,1 Önemli; 2 Orta; 3 Önemli değil,b51_2,1 Önemli; 2 Orta; 3 Önemli değil,AILE_YASAM_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,AILE_YASAM_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,AILE_YASAM_ONEM,1 Önemli; 2 Orta; 3 Önemli değil
Events (separate regression),comparison concern (others' own X),concern_personal_belongings,KISISEL_ESYA_ONEM,"B51.3 Çevrenizdeki diğer kişilerin, ev ve kişisel eşyaları (cep tel, araba vb. )  sizin için ne kadar önemlidir?",b51_3,1 Önemli; 2 Orta; 3 Önemli değil,b51_3,1 Önemli; 2 Orta; 3 Önemli değil,KISISEL_ESYA_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,KISISEL_ESYA_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,KISISEL_ESYA_ONEM,1 Önemli; 2 Orta; 3 Önemli değil
Events (separate regression),comparison concern (others' own X),concern_friend_circle,ARKADAS_CEVRE_ONEM,"B51.4 Çevrenizdeki diğer kişilerin, arkadaş çevreleri sizin için ne kadar önemlidir?",b51_4,1 Önemli; 2 Orta; 3 Önemli değil,b51_4,1 Önemli; 2 Orta; 3 Önemli değil,ARKADAS_CEVRE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,ARKADAS_CEVRE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,ARKADAS_CEVRE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil
Events (separate regression),comparison concern (others' own X),concern_childrens_success,COCUK_BASARI_ONEM,"B51.5 Çevrenizdeki diğer kişilerin, çocuklarının başarıları sizin için ne kadar önemlidir?",b51_5,1 Önemli; 2 Orta; 3 Önemli değil,b51_5,1 Önemli; 2 Orta; 3 Önemli değil,COCUK_BASARI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,COCUK_BASARI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,COCUK_BASARI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil
