coefficients|estimate_2013|z_2013|estimate_2014|z_2014|estimate_2015|z_2015|estimate_2016|z_2016|estimate_2017|z_2017
friends_satisfactionVery Satisfied from Friends|0,17095947425244|TRUE|0,183962521842187|FALSE|0,267269741167854|FALSE|0,134827275964731|FALSE|0,43513138565055|TRUE
genderMale|-0,293130876593926|TRUE|-0,368208944860623|TRUE|-0,506230424958651|TRUE|-0,389229256586566|TRUE|-0,402952855127009|TRUE
health_satisfactionNot Satisfied from Subjective Health|0,0223535515959412|FALSE|-0,178268856011558|FALSE|-0,104163755541713|FALSE|-0,177605239411388|FALSE|-0,166899787277796|FALSE
health_satisfactionNot Satisfied from Subjective Health At All|-0,16898600309811|TRUE|-0,112865473066328|FALSE|0,0654277328670989|FALSE|-0,305518282790028|FALSE|-0,405337116643121|FALSE
health_satisfactionSatisfied from Subjective Health|0,562886307512556|TRUE|0,535048137997592|TRUE|0,514392798988898|TRUE|0,523149992930044|TRUE|0,441519029080721|TRUE
health_satisfactionVery Satisfied from Subjective Health|0,651187103105266|TRUE|0,447855952561009|TRUE|0,787336039296367|TRUE|0,786224605772485|TRUE|0,556961726370031|TRUE
hope_levelHopeful|0,846866064910875|TRUE|1,09286178694414|TRUE|1,21909964312504|TRUE|0,748628883041007|TRUE|1,064342720696|TRUE
hope_levelNot Hopeful|0,204278235523966|TRUE|0,334024639825611|TRUE|0,477455661771265|TRUE|0,0912207957859692|FALSE|0,423803969563769|TRUE
hope_levelVery Hopeful|1,28617912648907|TRUE|1,67975529469539|TRUE|1,7787546176255|TRUE|0,978879538682866|TRUE|1,78030605626514|TRUE
household_income_tierHousehold Income Tier 2|-0,0444565520292258|TRUE|0,0330287871441469|FALSE|0,0600655068478722|FALSE|-0,246450990264976|TRUE|0,0251501255812735|FALSE
household_income_tierHousehold Income Tier 3|-0,0850356917465747|TRUE|-0,0501061266405048|FALSE|-0,00231587034049058|FALSE|-0,296713203004726|TRUE|-0,0884126919269587|FALSE
household_income_tierHousehold Income Tier 4|-0,0653485944586697|TRUE|-0,0360789181229707|FALSE|0,174703563055637|TRUE|-0,221318192203705|TRUE|-0,221149469134673|TRUE
household_income_tierHousehold Income Tier 5|0,0075931394972015|FALSE|0,0414697940610766|FALSE|-0,0605053718798629|FALSE|-0,2388025535925|TRUE|-0,118303450571409|FALSE
housing_satisfactionNot Satisfied from Housing|0,000766603554982671|FALSE|-0,0430684148289226|FALSE|-0,0457616152107593|FALSE|0,0716528835326556|FALSE|0,0118570975988732|FALSE
housing_satisfactionNot Satisfied from Housing At All|-0,0355106462243248|FALSE|0,0337251656780812|FALSE|-0,0103761652446951|FALSE|-0,940306827353116|TRUE|-0,0201214587061333|FALSE
housing_satisfactionSatisfied from Housing|0,236175681937442|TRUE|0,193916008063782|FALSE|0,155740167922129|FALSE|0,300826317541864|TRUE|0,337336803238269|TRUE
housing_satisfactionVery Satisfied from Housing|0,388294710771051|TRUE|0,316772150656929|FALSE|0,165990576440902|FALSE|-0,0682779444314511|FALSE|-0,0349409758050612|FALSE
housing_tenureEmployer-Provided Housing|-0,0551746593463272|FALSE|-0,27044805936211|FALSE|-0,509608612487402|TRUE|0,165759209703559|FALSE|-0,0832363341454937|FALSE
housing_tenureRent-Free (Non-Owner)|-0,047615553051284|TRUE|0,021325186513109|FALSE|0,0204454002047365|FALSE|0,0239428661813245|FALSE|0,020275611789824|FALSE
housing_tenureRenter|-0,0828036745200871|TRUE|-0,12727675290291|FALSE|0,020006975203006|FALSE|-0,168785968168178|TRUE|-0,0248918111435552|FALSE
